Agency,AI Use Case,Agency Use (Y/N)?,Name of Commercial Product or Service Used,Estimated # of Licenses/Users
Department of Agriculture,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Department of Agriculture,Curating news articles and updates based on user preferences using AI.,N,,
Department of Agriculture,Planning travel routes using AI-driven map applications.,Y,Apple Maps,"10,000-50,000"
Department of Agriculture,Finding and booking travel accommodations using AI-powered platforms.,N,,
Department of Agriculture,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Apple iPhone,"10,000-50,000"
Department of Commerce,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Department of Commerce,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Department of Commerce,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,MS Teams,1-100
Department of Commerce,Prioritizing and categorizing incoming emails using AI.,N,,
Department of Commerce,"Editing images, videos, or other public affairs materials using AI.",N,,
Department of Commerce,Scheduling and managing social media posts using AI.,N,,
Department of Commerce,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"MS 365 Copilot, Copilot Chat, PRISM/Bidscale",1-100
Department of Commerce,Improving the quality of written communications using AI tools.,Y,"Open AI, Salesforce Agentforce","50,000+"
Department of Commerce,Summarizing the key points of a lengthy report using AI.,Y,Palantir,1-100
Department of Commerce,Creating visual representations of data sets for reports or presentations using AI.,Y,"MS Copilot, ChatGPT",1-100
Department of Commerce,Using AI-assisted tools in word processors.,Y,Litera-compare,1-100
Department of Commerce,Generating code using AI.,Y,"GitLab Duo, ChatGPT",101-1000
Department of Commerce,Searching for agency information using a knowledge retrieval system.,Y,"AWS Bedrock, Azure OpenAI - Simple Chat, Salesforce Agentforce",1001-5000
Department of Commerce,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Department of Commerce,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
Department of Commerce,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Department of Commerce,Curating news articles and updates based on user preferences using AI.,N,,
Department of Commerce,Planning travel routes using AI-driven map applications.,N,,
Department of Commerce,Finding and booking travel accommodations using AI-powered platforms.,N,,
Department of Commerce,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N,,
Department of Energy,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Y,"WebApps, OGC Docket Database, MCG Energy Solutions Integrated Asset Manager (IAM), OATI Transmission Scheduling",101-1000
Department of Energy,Logging and analyzing time spent on tasks using AI-powered time management tools.,Y,Splunk Online,1-100
Department of Energy,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,"Microsoft 365 1, NNSS-Microsoft 365","10,000-50,000"
Department of Energy,Prioritizing and categorizing incoming emails using AI.,Y,"CBSA - Commercial Business Support Application, Konica Minolta Dispatcher Paragon, KCNSC-Intune",1-100
Department of Energy,"Editing images, videos, or other public affairs materials using AI.",Y,"Adobe creative suite, TV eyes",1-100
Department of Energy,Scheduling and managing social media posts using AI.,Y,Sprout Social,1-100
Department of Energy,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"ChatGPT Enterprise, Microsoft CoPilot, Gemini, Claude, ","10,000-50,000"
Department of Energy,Improving the quality of written communications using AI tools.,Y,"ChatGPT Enterprise, Microsoft CoPilot, Gemini, Claude,","10,000-50,000"
Department of Energy,Summarizing the key points of a lengthy report using AI.,Y,Doble Engineering Doble Test Assistant,"10,000-50,000"
Department of Energy,Creating visual representations of data sets for reports or presentations using AI.,Y,Tableau Enterprise Visualization 1.0,101-1000
Department of Energy,Using AI-assisted tools in word processors.,Y,Microsoft 365 1,"10,000-50,000"
Department of Energy,Generating code using AI.,Y,GitHub Enterprise 1.0,"10,000-50,000"
Department of Energy,Searching for agency information using a knowledge retrieval system.,Y,"OpenText Content Server, ChatGPT Enterprise, Microsoft CoPilot, Gemini, Claude, ","10,000-50,000"
Department of Energy,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Department of Energy,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,"CrowdStrike Falcon 1.0, Microsoft Defender, Vectra AI, Splunk Enterprise Security","10,000-50,000"
Department of Energy,Managing and prioritizing internal service or help desk tickets using AI.,Y,ServiceNow,101-1000
Department of Energy,Curating news articles and updates based on user preferences using AI.,Y,Meltwater,1-100
Department of Energy,Planning travel routes using AI-driven map applications.,Y,"Google Maps, Apple Maps","50,000+"
Department of Energy,Finding and booking travel accommodations using AI-powered platforms.,Y,"Enterprise Travel System 2.0, DDSP Travel Request Form, ",101-1000
Department of Energy,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,"Apple iPhone, Google Pixel","50,000+"
Department of Health and Human Services,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Y,"Microsoft Outlook, Microsoft Teams, Microsoft 365 Copilot","5001-10,000"
Department of Health and Human Services,Logging and analyzing time spent on tasks using AI-powered time management tools.,Y,"Asana, Microsoft 365 Copilot, Monday.com",1-100
