Agency,AI Use Case,Agency Use (Y/N)?,Name of Commercial Product or Service Used,Estimated # of Licenses/Users
Department of Treasury,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Department of Treasury,Curating news articles and updates based on user preferences using AI.,Y,N/A,1001-5000
Department of Treasury,Planning travel routes using AI-driven map applications.,Y,N/A,"50,000+"
Department of Treasury,Finding and booking travel accommodations using AI-powered platforms.,N,,
Department of Treasury,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,N/A,"10,000-50,000"
Department of Veterans Affairs,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Department of Veterans Affairs,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Department of Veterans Affairs,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Microsoft Teams Premium,"5001-10,000"
Department of Veterans Affairs,Prioritizing and categorizing incoming emails using AI.,N,,
Department of Veterans Affairs,"Editing images, videos, or other public affairs materials using AI.",N,,
Department of Veterans Affairs,Scheduling and managing social media posts using AI.,N,,
Department of Veterans Affairs,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"Power Automate AI Builder, Microsoft Dynamics D365 CoPilot, Microsoft Copilot Chat","50,000+"
Department of Veterans Affairs,Improving the quality of written communications using AI tools.,Y,Grammarly,1-100
Department of Veterans Affairs,Summarizing the key points of a lengthy report using AI.,Y,"Casepoint AI, Medallia","50,000+"
Department of Veterans Affairs,Creating visual representations of data sets for reports or presentations using AI.,N,,
Department of Veterans Affairs,Using AI-assisted tools in word processors.,N,,
Department of Veterans Affairs,Generating code using AI.,Y,GitHub Copilot,1001-5000
Department of Veterans Affairs,Searching for agency information using a knowledge retrieval system.,Y,"Westlaw, VA Box",1001-5000
Department of Veterans Affairs,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Department of Veterans Affairs,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,IT Service Intelligence (Splunk),"10,000-50,000"
Department of Veterans Affairs,Managing and prioritizing internal service or help desk tickets using AI.,Y,Genesys Cloud CX,"5001-10,000"
Department of Veterans Affairs,Curating news articles and updates based on user preferences using AI.,N,,
Department of Veterans Affairs,Planning travel routes using AI-driven map applications.,N,,
Department of Veterans Affairs,Finding and booking travel accommodations using AI-powered platforms.,N,,
Department of Veterans Affairs,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Face ID,"50,000+"
Department of Veteran Affairs-OIG,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Department of Veteran Affairs-OIG,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Department of Veteran Affairs-OIG,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,,
Department of Veteran Affairs-OIG,Prioritizing and categorizing incoming emails using AI.,Y,,
Department of Veteran Affairs-OIG,"Editing images, videos, or other public affairs materials using AI.",N,,
Department of Veteran Affairs-OIG,Scheduling and managing social media posts using AI.,N,,
Department of Veteran Affairs-OIG,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,ChatGPT,
Department of Veteran Affairs-OIG,Improving the quality of written communications using AI tools.,N,,
Department of Veteran Affairs-OIG,Summarizing the key points of a lengthy report using AI.,Y,OpenAI,
Department of Veteran Affairs-OIG,Creating visual representations of data sets for reports or presentations using AI.,N,,
Department of Veteran Affairs-OIG,Using AI-assisted tools in word processors.,Y,Microsoft Copilot,
Department of Veteran Affairs-OIG,Generating code using AI.,Y,Github Copilot,
Department of Veteran Affairs-OIG,Searching for agency information using a knowledge retrieval system.,Y,VA GPT,
Department of Veteran Affairs-OIG,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Department of Veteran Affairs-OIG,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
Department of Veteran Affairs-OIG,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Department of Veteran Affairs-OIG,Curating news articles and updates based on user preferences using AI.,N,,
Department of Veteran Affairs-OIG,Planning travel routes using AI-driven map applications.,N,,
Department of Veteran Affairs-OIG,Finding and booking travel accommodations using AI-powered platforms.,N,,
Department of Veteran Affairs-OIG,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N,,
Environmental Protection Agency,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Environmental Protection Agency,Logging and analyzing time spent on tasks using AI-powered time management tools.,Y,Microsoft Viva,"10,000-50,000"
Environmental Protection Agency,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,"Microsoft365 Copilot, Azure Open AI","10,000-50,000"
Environmental Protection Agency,Prioritizing and categorizing incoming emails using AI.,Y,Microsoft365 Copilot,1-100
Environmental Protection Agency,"Editing images, videos, or other public affairs materials using AI.",N,,
Environmental Protection Agency,Scheduling and managing social media posts using AI.,N,,
Environmental Protection Agency,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"Azure OpenAI, Microsoft365 Copilot","10,000-50,000"
Environmental Protection Agency,Improving the quality of written communications using AI tools.,Y,"Azure OpenAI, Microsoft365 Copilot","10,000-50,000"
Environmental Protection Agency,Summarizing the key points of a lengthy report using AI.,Y,"Azure OpenAI, Microsoft365 Copilot","10,000-50,000"
Environmental Protection Agency,Creating visual representations of data sets for reports or presentations using AI.,Y,"Azure OpenAI, Microsoft365 Copilot, Qlik Predict","10,000-50,000"
Environmental Protection Agency,Using AI-assisted tools in word processors.,Y,Microsoft365 Copilot,1-100
Environmental Protection Agency,Generating code using AI.,Y,"GitHub Copilot, Azure OpenAI, Microsoft365 Copilot","10,000-50,000"
Environmental Protection Agency,Searching for agency information using a knowledge retrieval system.,Y,"Relativity, Microsoft365 Copilot, Google Search","10,000-50,000"
Environmental Protection Agency,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Environmental Protection Agency,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,"Microsoft Purview, Microsoft Defender",
Environmental Protection Agency,Managing and prioritizing internal service or help desk tickets using AI.,Y,Servicenow Virtual Agent,"10,000-50,000"
Environmental Protection Agency,Curating news articles and updates based on user preferences using AI.,N,,
Environmental Protection Agency,Planning travel routes using AI-driven map applications.,Y,"Google Maps, Apple Maps","10,000-50,000"
Environmental Protection Agency,Finding and booking travel accommodations using AI-powered platforms.,Y,SAP Concur,"10,000-50,000"
Environmental Protection Agency,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N,Apple iPhone,1001-5000
Export-Import Bank of the U.S.,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Y,Microsoft M365 Copilot AI,101-1000
Export-Import Bank of the U.S.,Logging and analyzing time spent on tasks using AI-powered time management tools.,Y,Microsoft M365 Copilot AI,101-1000
Export-Import Bank of the U.S.,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Microsoft M365 Copilot AI,101-1000
Export-Import Bank of the U.S.,Prioritizing and categorizing incoming emails using AI.,Y,Microsoft M365 Copilot AI,101-1000
Export-Import Bank of the U.S.,"Editing images, videos, or other public affairs materials using AI.",Y,Microsoft M365 Copilot AI,101-1000
Export-Import Bank of the U.S.,Scheduling and managing social media posts using AI.,Y,Microsoft M365 Copilot AI,101-1000
Export-Import Bank of the U.S.,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,Microsoft M365 Copilot AI,101-1000
Export-Import Bank of the U.S.,Improving the quality of written communications using AI tools.,Y,Microsoft M365 Copilot AI,101-1000
Export-Import Bank of the U.S.,Summarizing the key points of a lengthy report using AI.,Y,Microsoft M365 Copilot AI,101-1000
Export-Import Bank of the U.S.,Creating visual representations of data sets for reports or presentations using AI.,Y,Microsoft M365 Copilot AI,101-1000
Export-Import Bank of the U.S.,Using AI-assisted tools in word processors.,Y,Microsoft M365 Copilot AI,101-1000
Export-Import Bank of the U.S.,Generating code using AI.,Y,Microsoft M365 Copilot AI,101-1000
Export-Import Bank of the U.S.,Searching for agency information using a knowledge retrieval system.,Y,Microsoft M365 Copilot AI,101-1000
Export-Import Bank of the U.S.,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Export-Import Bank of the U.S.,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,"Splunk, Crowdstrike, MS Defender, Qualys. Palo Alto ",101-1000
Export-Import Bank of the U.S.,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Export-Import Bank of the U.S.,Curating news articles and updates based on user preferences using AI.,N,,
Export-Import Bank of the U.S.,Planning travel routes using AI-driven map applications.,Y,"Apple Maps, Google Maps, Open StreetMap",101-1000
Export-Import Bank of the U.S.,Finding and booking travel accommodations using AI-powered platforms.,N,,
Export-Import Bank of the U.S.,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Apple iPhone,1-100
Farm Credit Administration,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Farm Credit Administration,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Farm Credit Administration,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Various,1-100
Farm Credit Administration,Prioritizing and categorizing incoming emails using AI.,N,,
Farm Credit Administration,"Editing images, videos, or other public affairs materials using AI.",N,,
Farm Credit Administration,Scheduling and managing social media posts using AI.,N,,
Farm Credit Administration,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,Various,1-100
Farm Credit Administration,Improving the quality of written communications using AI tools.,Y,Various,1-100
Farm Credit Administration,Summarizing the key points of a lengthy report using AI.,Y,Various,1-100
Farm Credit Administration,Creating visual representations of data sets for reports or presentations using AI.,Y,Various,1-100
Farm Credit Administration,Using AI-assisted tools in word processors.,Y,Various,1-100
Farm Credit Administration,Generating code using AI.,N,,
Farm Credit Administration,Searching for agency information using a knowledge retrieval system.,Y,Various,1-100
Farm Credit Administration,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Farm Credit Administration,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,Various,101-1000
Farm Credit Administration,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Farm Credit Administration,Curating news articles and updates based on user preferences using AI.,N,,
Farm Credit Administration,Planning travel routes using AI-driven map applications.,Y,Various,101-1000
Farm Credit Administration,Finding and booking travel accommodations using AI-powered platforms.,N,,
Farm Credit Administration,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Various,101-1000
Federal Communications Commission,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Federal Communications Commission,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,"AWS Q Developer 
(Gen AI-powered assistant)",1-100
Federal Communications Commission,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,"Microsoft Teams
integrated with 
Microsoft Copilot",1001-5000
Federal Communications Commission,Prioritizing and categorizing incoming emails using AI.,N,,
Federal Communications Commission,"Editing images, videos, or other public affairs materials using AI.",N,,
Federal Communications Commission,Scheduling and managing social media posts using AI.,N,,
Federal Communications Commission,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,Microsoft Copilot,101-1000
Federal Communications Commission,Improving the quality of written communications using AI tools.,Y,Microsoft Copilot,101-1000
Federal Communications Commission,Summarizing the key points of a lengthy report using AI.,Y,Microsoft Copilot,101-1000
Federal Communications Commission,Creating visual representations of data sets for reports or presentations using AI.,N,,
Federal Communications Commission,Using AI-assisted tools in word processors.,Y,Microsoft Copilot,101-1000
Federal Communications Commission,Generating code using AI.,Y,"Microsoft Copilot, 
AWS Q Developer, 
Microsoft Azure Open AI",101-1000
Federal Communications Commission,Searching for agency information using a knowledge retrieval system.,N,,
Federal Communications Commission,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Federal Communications Commission,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,Microsoft Defender XDR,1001-5000
Federal Communications Commission,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Federal Communications Commission,Curating news articles and updates based on user preferences using AI.,N,,
Federal Communications Commission,Planning travel routes using AI-driven map applications.,N,,
Federal Communications Commission,Finding and booking travel accommodations using AI-powered platforms.,N,,
Federal Communications Commission,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N,,
Federal Deposit Insurance Corporation,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Federal Deposit Insurance Corporation,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Federal Deposit Insurance Corporation,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Microsoft teams (Recording),101-1000
Federal Deposit Insurance Corporation,Prioritizing and categorizing incoming emails using AI.,N,,
Federal Deposit Insurance Corporation,"Editing images, videos, or other public affairs materials using AI.",Y,"Photoshop, Adobe Premier, Microsoft Paint Limited Copilot","5001-10,000"
Federal Deposit Insurance Corporation,Scheduling and managing social media posts using AI.,Y,Sprout Social,1-100
Federal Deposit Insurance Corporation,"Generating first drafts of documents, briefing, or communication materials using AI.",N,,
Federal Deposit Insurance Corporation,Improving the quality of written communications using AI tools.,Y,Thomas Reuters/Westlaw Drafting Assistant,101-1000
Federal Deposit Insurance Corporation,Summarizing the key points of a lengthy report using AI.,Y,Microsoft Power BI,"5001-10,000"
Federal Deposit Insurance Corporation,Creating visual representations of data sets for reports or presentations using AI.,Y,"Microsoft Power BI, Tableau","5001-10,000"
Federal Deposit Insurance Corporation,Using AI-assisted tools in word processors.,Y,,
Federal Deposit Insurance Corporation,Generating code using AI.,Y,"GitHub Copilot, Appian",101-1000
Federal Deposit Insurance Corporation,Searching for agency information using a knowledge retrieval system.,Y,"Relativity Server, Relativity One, Cloudlocker, Microsoft Purview, Rasa",1001-5000
Federal Deposit Insurance Corporation,Identifying and cataloging items in a storage room using AI-driven image recognition.,Y,,
Federal Deposit Insurance Corporation,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,"Falcon EDR, Splunk Clowd, Tenable, Opentext, ServiceNow","5001-10,000"
Federal Deposit Insurance Corporation,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Federal Deposit Insurance Corporation,Curating news articles and updates based on user preferences using AI.,N,,
Federal Deposit Insurance Corporation,Planning travel routes using AI-driven map applications.,Y,"Google Maps, Apple Maps","5001-10,000"
Federal Deposit Insurance Corporation,Finding and booking travel accommodations using AI-powered platforms.,Y,CWTSatoTravel,1001-5000
Federal Deposit Insurance Corporation,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,"Apple iPhone, Apple iPad","5001-10,000"
Federal Energy Regulatory Commission,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Federal Energy Regulatory Commission,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Federal Energy Regulatory Commission,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",N,,
Federal Energy Regulatory Commission,Prioritizing and categorizing incoming emails using AI.,N,,
Federal Energy Regulatory Commission,"Editing images, videos, or other public affairs materials using AI.",N,,
Federal Energy Regulatory Commission,Scheduling and managing social media posts using AI.,N,,
Federal Energy Regulatory Commission,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"Microsoft 365 Copilot, Azure Open AI",101-1000
Federal Energy Regulatory Commission,Improving the quality of written communications using AI tools.,N,,
Federal Energy Regulatory Commission,Summarizing the key points of a lengthy report using AI.,Y,"Microsoft 365 Copilot, Azure Open AI",101-1000
Federal Energy Regulatory Commission,Creating visual representations of data sets for reports or presentations using AI.,N,,
Federal Energy Regulatory Commission,Using AI-assisted tools in word processors.,Y,Microsoft 365 Copilot,101-1000
Federal Energy Regulatory Commission,Generating code using AI.,Y,GitHub Copilot,1-100
Federal Energy Regulatory Commission,Searching for agency information using a knowledge retrieval system.,Y,Microsoft 365 Copilot,101-1000
Federal Energy Regulatory Commission,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Federal Energy Regulatory Commission,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
Federal Energy Regulatory Commission,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Federal Energy Regulatory Commission,Curating news articles and updates based on user preferences using AI.,N,,
Federal Energy Regulatory Commission,Planning travel routes using AI-driven map applications.,Y,Google Maps & Apple Maps,1-100
Federal Energy Regulatory Commission,Finding and booking travel accommodations using AI-powered platforms.,Y,Concur,101-1000
Federal Energy Regulatory Commission,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,"Apple iPhone, Samsung",101-1000
Federal Housing Finance Agency,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Federal Housing Finance Agency,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Federal Housing Finance Agency,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",N,,
Federal Housing Finance Agency,Prioritizing and categorizing incoming emails using AI.,N,,
Federal Housing Finance Agency,"Editing images, videos, or other public affairs materials using AI.",N,,
Federal Housing Finance Agency,Scheduling and managing social media posts using AI.,N,,
Federal Housing Finance Agency,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"Microsoft Copilot, Microsoft 365 suite (Teams, SharePoint, Excel, PowerPoint, Word), Apple iOS",101-1000
Federal Housing Finance Agency,Improving the quality of written communications using AI tools.,N,,
Federal Housing Finance Agency,Summarizing the key points of a lengthy report using AI.,N,,
Federal Housing Finance Agency,Creating visual representations of data sets for reports or presentations using AI.,N,,
Federal Housing Finance Agency,Using AI-assisted tools in word processors.,Y,Microsoft Copilot,1-100
Federal Housing Finance Agency,Generating code using AI.,N,,
Federal Housing Finance Agency,Searching for agency information using a knowledge retrieval system.,Y,Microsoft Copilot,1-100
Federal Housing Finance Agency,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Federal Housing Finance Agency,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
Federal Housing Finance Agency,Managing and prioritizing internal service or help desk tickets using AI.,Y,ServiceNow,1-100
Federal Housing Finance Agency,Curating news articles and updates based on user preferences using AI.,N,,
Federal Housing Finance Agency,Planning travel routes using AI-driven map applications.,Y,"Apple Maps, Google Maps",101-1000
Federal Housing Finance Agency,Finding and booking travel accommodations using AI-powered platforms.,Y,SAP Concur,101-1000
Federal Housing Finance Agency,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Apple iPhone,101-1000
Federal Labor Relations Authority,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Federal Labor Relations Authority,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Federal Labor Relations Authority,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Microsoft Copilot / Teams,
Federal Labor Relations Authority,Prioritizing and categorizing incoming emails using AI.,N,,
Federal Labor Relations Authority,"Editing images, videos, or other public affairs materials using AI.",Y,Vyond,1-100
Federal Labor Relations Authority,Scheduling and managing social media posts using AI.,N,,
Federal Labor Relations Authority,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,ChatGPT,1-100
Federal Labor Relations Authority,Improving the quality of written communications using AI tools.,Y,ChatGPT,1-100
Federal Labor Relations Authority,Summarizing the key points of a lengthy report using AI.,Y,ChatGPT,1-100
Federal Labor Relations Authority,Creating visual representations of data sets for reports or presentations using AI.,Y,ChatGPT,1-100
Federal Labor Relations Authority,Using AI-assisted tools in word processors.,Y,Microsoft Copilot,1-100
Federal Labor Relations Authority,Generating code using AI.,N,,
Federal Labor Relations Authority,Searching for agency information using a knowledge retrieval system.,Y,"ChatGPT, Notebook LLM, Gemini",1-100
Federal Labor Relations Authority,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Federal Labor Relations Authority,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,"Crowdstrike Falcon, Microsoft Defender",101-1000
Federal Labor Relations Authority,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Federal Labor Relations Authority,Curating news articles and updates based on user preferences using AI.,Y,Google News Brief,1-100
Federal Labor Relations Authority,Planning travel routes using AI-driven map applications.,N,,
Federal Labor Relations Authority,Finding and booking travel accommodations using AI-powered platforms.,N,,
Federal Labor Relations Authority,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N,,
Federal Reserve Board of Governors,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Federal Reserve Board of Governors,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Federal Reserve Board of Governors,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",N,,
Federal Reserve Board of Governors,Prioritizing and categorizing incoming emails using AI.,N,,
Federal Reserve Board of Governors,"Editing images, videos, or other public affairs materials using AI.",Y,External- Creative Production Suite,1-100
Federal Reserve Board of Governors,Scheduling and managing social media posts using AI.,N,,
Federal Reserve Board of Governors,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"External- Chatbots, Internal Gov Cloud- Chatbots",1001-5000
Federal Reserve Board of Governors,Improving the quality of written communications using AI tools.,Y,"External- Chatbots, Internal Gov Cloud- Chatbots",1001-5000
Federal Reserve Board of Governors,Summarizing the key points of a lengthy report using AI.,Y,"External- Chatbots, Internal Gov Cloud- Chatbots",1001-5000
Federal Reserve Board of Governors,Creating visual representations of data sets for reports or presentations using AI.,N,,
Federal Reserve Board of Governors,Using AI-assisted tools in word processors.,N,,
Federal Reserve Board of Governors,Generating code using AI.,Y,"External-Generative Coding Assistant, External- Chatbots, Internal Gov Cloud - Chatbots",1001-5000
Federal Reserve Board of Governors,Searching for agency information using a knowledge retrieval system.,Y,Internal Gov Cloud- Chatbots,1001-5000
Federal Reserve Board of Governors,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Federal Reserve Board of Governors,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,External- Cybersecurity Suites,1-100
Federal Reserve Board of Governors,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Federal Reserve Board of Governors,Curating news articles and updates based on user preferences using AI.,N,,
Federal Reserve Board of Governors,Planning travel routes using AI-driven map applications.,Y,External- Smartphone OS,1-100
Federal Reserve Board of Governors,Finding and booking travel accommodations using AI-powered platforms.,Y,External- Government Travel System,101-1000
Federal Reserve Board of Governors,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,External- Smartphone OS,1001-5000
Federal Trade Commission,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Federal Trade Commission,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Federal Trade Commission,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,CoPilot,1001-5000
Federal Trade Commission,Prioritizing and categorizing incoming emails using AI.,Y,CoPilot ,1001-5000
Federal Trade Commission,"Editing images, videos, or other public affairs materials using AI.",N,,
Federal Trade Commission,Scheduling and managing social media posts using AI.,N,,
Federal Trade Commission,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,CoPilot,1001-5000
Federal Trade Commission,Improving the quality of written communications using AI tools.,N,,
Federal Trade Commission,Summarizing the key points of a lengthy report using AI.,Y,CoPilot; Relativity Technology Assisted Review,1001-5000
Federal Trade Commission,Creating visual representations of data sets for reports or presentations using AI.,Y,,
Federal Trade Commission,Using AI-assisted tools in word processors.,Y,CoPilot,1001-5000
Federal Trade Commission,Generating code using AI.,Y,Azure Databricks,1-100
Federal Trade Commission,Searching for agency information using a knowledge retrieval system.,N,,
Federal Trade Commission,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Federal Trade Commission,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,Dtex; KnowBe4; Crowdstrike,1001-5000
Federal Trade Commission,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Federal Trade Commission,Curating news articles and updates based on user preferences using AI.,N,,
Federal Trade Commission,Planning travel routes using AI-driven map applications.,Y,"Google Maps, Apple Maps",1001-5000
Federal Trade Commission,Finding and booking travel accommodations using AI-powered platforms.,N,,
Federal Trade Commission,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,iPhones,1001-5000
General Services Administration,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
General Services Administration,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
General Services Administration,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Gemini for Google Workspace,"10,000-50,000"
General Services Administration,Prioritizing and categorizing incoming emails using AI.,N,,
General Services Administration,"Editing images, videos, or other public affairs materials using AI.",Y,Gemini for Google Workspace,"10,000-50,000"
General Services Administration,Scheduling and managing social media posts using AI.,N,,
General Services Administration,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,Gemini for Google Workspace,"10,000-50,000"
General Services Administration,Improving the quality of written communications using AI tools.,Y,Gemini for Google Workspace,
General Services Administration,Summarizing the key points of a lengthy report using AI.,Y,Gemini for Google Workspace,"10,000-50,000"
General Services Administration,Creating visual representations of data sets for reports or presentations using AI.,Y,Genie in Databricks,101-1000
General Services Administration,Using AI-assisted tools in word processors.,Y,Gemini for Google Workspace,"10,000-50,000"
General Services Administration,Generating code using AI.,Y,Github Copilot,101-1000
General Services Administration,Searching for agency information using a knowledge retrieval system.,Y,"Claude, Meta and Gemini LLM models through USAi","5001-10,000"
General Services Administration,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
General Services Administration,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
General Services Administration,Managing and prioritizing internal service or help desk tickets using AI.,Y,,
General Services Administration,Curating news articles and updates based on user preferences using AI.,N,,
General Services Administration,Planning travel routes using AI-driven map applications.,Y,Google Maps on GFE by individual users,"10,000-50,000"
General Services Administration,Finding and booking travel accommodations using AI-powered platforms.,N,,
General Services Administration,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Face recognition for GFE phones,"10,000-50,000"
Morris K. Udall and Stewart L. Udall Foundation,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Morris K. Udall and Stewart L. Udall Foundation,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Morris K. Udall and Stewart L. Udall Foundation,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",N,,
Morris K. Udall and Stewart L. Udall Foundation,Prioritizing and categorizing incoming emails using AI.,N,,
Morris K. Udall and Stewart L. Udall Foundation,"Editing images, videos, or other public affairs materials using AI.",N,,
Morris K. Udall and Stewart L. Udall Foundation,Scheduling and managing social media posts using AI.,N,,
Morris K. Udall and Stewart L. Udall Foundation,"Generating first drafts of documents, briefing, or communication materials using AI.",N,,
Morris K. Udall and Stewart L. Udall Foundation,Improving the quality of written communications using AI tools.,Y,Microsoft CoPilot,1-100
Morris K. Udall and Stewart L. Udall Foundation,Summarizing the key points of a lengthy report using AI.,N,,
Morris K. Udall and Stewart L. Udall Foundation,Creating visual representations of data sets for reports or presentations using AI.,N,,
Morris K. Udall and Stewart L. Udall Foundation,Using AI-assisted tools in word processors.,Y,Microsoft CoPilot,1-100
Morris K. Udall and Stewart L. Udall Foundation,Generating code using AI.,N,,
Morris K. Udall and Stewart L. Udall Foundation,Searching for agency information using a knowledge retrieval system.,N,,
Morris K. Udall and Stewart L. Udall Foundation,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Morris K. Udall and Stewart L. Udall Foundation,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
Morris K. Udall and Stewart L. Udall Foundation,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Morris K. Udall and Stewart L. Udall Foundation,Curating news articles and updates based on user preferences using AI.,N,,
Morris K. Udall and Stewart L. Udall Foundation,Planning travel routes using AI-driven map applications.,N,,
